feature,importance
tfidf_s:/,718.0341186523438
tfidf_s://,604.9363403320312
number_of_slash_in_url,367.1152648925781
path_length,175.61502075195312
having_path,159.65069580078125
tfidf_com/,123.526123046875
has_unicode,100.27865600585938
tfidf_http:,77.35652160644531
tfidf_om/,51.01799011230469
tfidf_p:/,35.158138275146484
has_mixed_script,25.3394832611084
tfidf_ps:,23.872859954833984
average_number_of_hyphens_in_subdomain,15.319029808044434
number_of_digits_in_subdomain,14.732696533203125
tfidf_ps://,12.720605850219727
average_subdomain_length,7.477209568023682
has_confusable,6.763984203338623
tfidf_ercon,6.556640625
tfidf_.com/,5.091033935546875
tfidf_twar,5.06103515625
having_digits_in_subdomain,3.657525062561035
entropy_of_subdomain,3.279994249343872
tfidf_ftw,2.8483331203460693
tfidf_ftwa,2.836026906967163
number_of_digits_in_url,2.7298097610473633
suspicious_tld,2.6996235847473145
number_of_dots_in_domain,2.6556293964385986
tfidf_twa,2.595947265625
tfidf_n.com,2.4028029441833496
number_of_dots_in_url,2.3661787509918213
tfidf_tps,2.181494951248169
url_length,2.1692686080932617
tfidf_org,1.9756125211715698
tfidf_ati,1.974503993988037
tfidf_/www.,1.9471956491470337
tfidf_s.com,1.9419946670532227
having_hyphen_in_subdomain,1.8482412099838257
number_of_subdomains,1.8015871047973633
tfidf_app,1.698934555053711
tfidf_ps:/,1.6261121034622192
tfidf_//www,1.5342029333114624
tfidf_ent,1.478240966796875
having_repeated_digits_in_domain,1.4573211669921875
tfidf_.or,1.425761103630066
tfidf_lin,1.341455340385437
tfidf_n.c,1.3039953708648682
tfidf_n.co,1.3017187118530273
tfidf_w.c,1.286244511604309
tfidf_s.co,1.2717161178588867
tfidf_p://,1.2702099084854126
number_of_hyphens_in_url,1.2499349117279053
tfidf_.net,1.2329851388931274
tfidf_erco,1.22186279296875
tfidf_//w,1.2170953750610352
tfidf_//s,1.2168127298355103
tfidf_net,1.1936912536621094
tfidf_s.c,1.1824231147766113
tfidf_//i,1.159799575805664
number_of_hyphens_in_domain,1.124724268913269
having_digits_in_domain,1.1131465435028076
tfidf_w.s,1.1089575290679932
tfidf_pro,1.08270263671875
tfidf_e.c,0.9852232933044434
tfidf_//ww,0.9835237860679626
tfidf_e.com,0.971657395362854
tfidf_ine,0.9593233466148376
tfidf_://s,0.9422531127929688
tfidf_w.a,0.9350813627243042
tfidf_https,0.9075952172279358
tfidf_ive,0.9030914306640625
tfidf_b.com,0.8702824711799622
tfidf_erc,0.8596394658088684
tfidf_//c,0.8584411144256592
tfidf_b.co,0.8499908447265625
tfidf_s://i,0.8207645416259766
domain_length,0.817436695098877
tfidf_www.,0.8000640273094177
tfidf_://,0.7997036576271057
tfidf_/www,0.7597326636314392
tfidf_ww.s,0.7119249701499939
tfidf_.ws,0.704028308391571
tfidf_/ww,0.6986141204833984
tfidf_.co,0.6959853172302246
tfidf_nsu,0.6745402216911316
tfidf_git,0.6642659306526184
tfidf_://c,0.6498394012451172
tfidf_s://w,0.5673184394836426
tfidf_com,0.5643182396888733
entropy_of_domain,0.5641918182373047
